,Date,Time,CO(GT),PT08S1(CO),C6H6(GT),PT08S2(NMHC),NOx(GT),PT08S3(NOx),NO2(GT),PT08S4(NO2),PT08S5(O3),T
97,2004-03-14,2020-06-11 19:00:00,4.6,1808.0,20.6,1312.0,261.0,753.0,157.0,1993.0,1698.0,18.4
98,2004-03-14,2020-06-11 20:00:00,5.9,1898.0,23.1,1381.0,325.0,681.0,173.0,2103.0,1905.0,17.6
99,2004-03-14,2020-06-11 21:00:00,3.4,1560.0,14.7,1140.0,217.0,784.0,146.0,1818.0,1648.0,16.7
100,2004-03-14,2020-06-11 22:00:00,2.1,1324.0,9.0,940.0,146.0,924.0,121.0,1587.0,1423.0,16.3
101,2004-03-14,2020-06-11 23:00:00,2.2,1349.0,8.8,933.0,152.0,933.0,119.0,1617.0,1349.0,14.7
102,2004-03-15,2020-06-11 00:00:00,1.8,1239.0,7.4,872.0,104.0,985.0,99.0,1547.0,1250.0,14.8
103,2004-03-15,2020-06-11 01:00:00,1.8,1239.0,6.9,853.0,106.0,1010.0,93.0,1543.0,1174.0,14.0
104,2004-03-15,2020-06-11 02:00:00,1.8,1224.0,7.0,855.0,108.0,998.0,88.0,1566.0,1149.0,13.4
105,2004-03-15,2020-06-11 03:00:00,1.1,1078.0,4.4,734.0,242.18929,1128.0,112.145134,1487.0,1021.0,12.6
106,2004-03-15,2020-06-11 04:00:00,2.1297114,1078.0,4.0,711.0,66.0,1150.0,71.0,1468.0,1013.0,12.3
107,2004-03-15,2020-06-11 05:00:00,1.0,1075.0,3.9,703.0,88.0,1156.0,74.0,1464.0,1010.0,11.9
108,2004-03-15,2020-06-11 06:00:00,1.4,1157.0,6.4,830.0,138.0,1030.0,80.0,1584.0,1083.0,11.4
109,2004-03-15,2020-06-11 07:00:00,2.2,1314.0,9.7,966.0,228.0,897.0,89.0,1710.0,1235.0,11.3
110,2004-03-15,2020-06-11 08:00:00,5.5,1797.0,25.9,1451.0,360.0,652.0,114.0,2323.0,1680.0,12.4
111,2004-03-15,2020-06-11 09:00:00,8.1,1961.0,36.7,1701.0,478.0,537.0,149.0,2665.0,2184.0,14.8
112,2004-03-15,2020-06-11 10:00:00,5.8,1771.0,26.6,1470.0,394.0,622.0,157.0,2262.0,1973.0,17.4
113,2004-03-15,2020-06-11 11:00:00,4.2,1564.0,20.1,1300.0,319.0,710.0,155.0,2029.0,1798.0,19.8
114,2004-03-15,2020-06-11 12:00:00,3.1,1430.0,14.1,1120.0,201.0,831.0,134.0,1783.0,1522.0,22.0
115,2004-03-15,2020-06-11 13:00:00,2.9,1417.0,14.9,1146.0,171.0,830.0,119.0,1831.0,1404.0,23.3
116,2004-03-15,2020-06-11 14:00:00,2.9,1400.0,15.4,1162.0,159.0,838.0,111.0,1829.0,1263.0,23.9
117,2004-03-15,2020-06-11 15:00:00,2.5,1317.0,12.1,1053.0,153.0,926.0,104.0,1707.0,1137.0,24.4
118,2004-03-15,2020-06-11 16:00:00,2.3,1318.0,11.5,1033.0,143.0,950.0,99.0,1675.0,1068.0,24.4
119,2004-03-15,2020-06-11 17:00:00,2.8,1445.0,14.8,1141.0,156.0,857.0,110.0,1824.0,1252.0,23.8
120,2004-03-15,2020-06-11 18:00:00,6.1,1917.0,32.1,1601.0,314.0,631.0,162.0,2447.0,1843.0,22.5
121,2004-03-15,2020-06-11 19:00:00,8.0,2040.0,39.2,1754.0,404.0,542.0,187.0,2679.0,2122.0,20.4
122,2004-03-15,2020-06-11 20:00:00,6.5,1895.0,31.0,1573.0,320.0,565.0,165.0,2443.0,1992.0,18.3
123,2004-03-15,2020-06-11 21:00:00,4.2,1595.0,19.9,1294.0,256.0,678.0,145.0,2058.0,1707.0,16.7
124,2004-03-15,2020-06-11 22:00:00,3.2,1439.0,15.3,1159.0,193.0,764.0,125.0,1856.0,1494.0,15.7
125,2004-03-15,2020-06-11 23:00:00,1.4,1142.0,6.9,852.0,89.0,1008.0,101.0,1547.0,1164.0,15.3
126,2004-03-16,2020-06-11 00:00:00,2.1,1304.0,11.1,1019.0,127.0,852.0,103.0,1731.0,1272.0,14.1
127,2004-03-16,2020-06-11 01:00:00,1.2,1074.0,5.4,784.0,79.0,1098.0,88.0,1483.0,1040.0,14.8
128,2004-03-16,2020-06-11 02:00:00,0.8,968.0,2.8,640.0,43.0,1320.0,61.0,1386.0,867.0,14.8
129,2004-03-16,2020-06-11 03:00:00,0.7,929.0,2.3,608.0,242.18929,1376.0,112.145134,1364.0,826.0,13.6
130,2004-03-16,2020-06-11 04:00:00,2.1297114,941.0,2.6,626.0,59.0,1316.0,59.0,1373.0,840.0,12.3
131,2004-03-16,2020-06-11 05:00:00,0.6,937.0,2.0,585.0,38.0,1412.0,52.0,1348.0,793.0,12.8
132,2004-03-16,2020-06-11 06:00:00,0.9,1017.0,3.5,681.0,82.0,1246.0,64.0,1418.0,870.0,11.2
133,2004-03-16,2020-06-11 07:00:00,1.3,1171.0,5.1,770.0,99.0,1162.0,70.0,1467.0,930.0,11.0
134,2004-03-16,2020-06-11 08:00:00,3.4,1541.0,16.2,1185.0,263.0,770.0,97.0,1889.0,1407.0,11.7
135,2004-03-16,2020-06-11 09:00:00,3.7,1539.0,19.7,1287.0,229.0,698.0,95.0,2055.0,1507.0,13.6
136,2004-03-16,2020-06-11 10:00:00,5.3,1735.0,25.1,1431.0,396.0,628.0,150.0,2211.0,1843.0,17.8
137,2004-03-16,2020-06-11 11:00:00,4.1,1571.0,20.0,1297.0,314.0,730.0,162.0,1973.0,1729.0,21.4
138,2004-03-16,2020-06-11 12:00:00,3.3,1452.0,18.3,1250.0,217.0,776.0,154.0,1868.0,1583.0,24.4
139,2004-03-16,2020-06-11 13:00:00,4.0,1579.0,22.3,1359.0,252.0,724.0,161.0,1998.0,1671.0,25.3
140,2004-03-16,2020-06-11 14:00:00,3.8,1466.0,20.4,1309.0,263.0,773.0,161.0,1897.0,1491.0,25.8
141,2004-03-16,2020-06-11 15:00:00,2.8,1280.0,14.6,1136.0,180.0,893.0,128.0,1675.0,1240.0,27.0
142,2004-03-16,2020-06-11 16:00:00,2.9,1407.0,16.6,1197.0,184.0,905.0,129.0,1759.0,1313.0,28.2
143,2004-03-16,2020-06-11 17:00:00,2.9,1389.0,15.8,1173.0,190.0,898.0,133.0,1739.0,1363.0,28.0
144,2004-03-16,2020-06-11 18:00:00,3.4,1447.0,17.8,1235.0,184.0,859.0,139.0,1778.0,1296.0,23.9
145,2004-03-16,2020-06-11 19:00:00,3.9,1551.0,19.1,1271.0,181.0,800.0,137.0,1875.0,1432.0,21.3
146,2004-03-16,2020-06-11 20:00:00,3.2,1474.0,15.8,1173.0,166.0,854.0,143.0,1776.0,1432.0,20.4
147,2004-03-16,2020-06-11 21:00:00,5.1,1800.0,24.9,1426.0,317.0,700.0,177.0,2106.0,2034.0,19.0
148,2004-03-16,2020-06-11 22:00:00,2.6,1379.0,13.5,1101.0,184.0,818.0,138.0,1710.0,1602.0,17.9
149,2004-03-16,2020-06-11 23:00:00,1.7,1201.0,9.1,943.0,130.0,935.0,117.0,1560.0,1362.0,16.7
150,2004-03-17,2020-06-11 00:00:00,1.7,1205.0,8.6,925.0,132.0,922.0,107.0,1547.0,1314.0,15.5
151,2004-03-17,2020-06-11 01:00:00,1.2,1072.0,5.4,784.0,95.0,1066.0,90.0,1442.0,1114.0,15.5
152,2004-03-17,2020-06-11 02:00:00,0.9,998.0,4.1,714.0,70.0,1169.0,79.0,1383.0,992.0,14.1
153,2004-03-17,2020-06-11 03:00:00,0.7,933.0,2.6,625.0,242.18929,1292.0,112.145134,1332.0,884.0,13.1
154,2004-03-17,2020-06-11 04:00:00,2.1297114,883.0,1.9,577.0,54.0,1396.0,60.0,1303.0,808.0,12.7
155,2004-03-17,2020-06-11 05:00:00,0.5,869.0,1.6,554.0,28.0,1460.0,40.0,1268.0,667.0,11.8
156,2004-03-17,2020-06-11 06:00:00,0.5,891.0,1.9,576.0,46.0,1417.0,53.0,1289.0,733.0,11.9
157,2004-03-17,2020-06-11 07:00:00,1.6,1173.0,7.5,878.0,160.0,1038.0,84.0,1556.0,1052.0,9.9
158,2004-03-17,2020-06-11 08:00:00,4.1,1587.0,21.4,1334.0,320.0,702.0,108.0,1999.0,1534.0,11.1
159,2004-03-17,2020-06-11 09:00:00,6.6,1852.0,36.4,1696.0,377.0,553.0,127.0,2535.0,1931.0,14.1
160,2004-03-17,2020-06-11 10:00:00,4.3,1522.0,21.3,1331.0,280.0,703.0,134.0,2026.0,1734.0,17.7
161,2004-03-17,2020-06-11 11:00:00,2.9,1438.0,15.4,1161.0,221.0,819.0,135.0,1782.0,1595.0,21.1
162,2004-03-17,2020-06-11 12:00:00,2.5,1393.0,12.5,1067.0,210.0,905.0,142.0,1654.0,1490.0,24.3
163,2004-03-17,2020-06-11 13:00:00,2.8,1452.0,15.1,1152.0,204.0,861.0,153.0,1747.0,1508.0,25.6
164,2004-03-17,2020-06-11 14:00:00,2.6,1389.0,13.7,1108.0,161.0,887.0,123.0,1712.0,1334.0,25.9
165,2004-03-17,2020-06-11 15:00:00,2.0,1207.0,10.4,994.0,135.0,1013.0,104.0,1520.0,1045.0,26.8
166,2004-03-17,2020-06-11 16:00:00,2.9,1365.0,15.2,1154.0,186.0,940.0,129.0,1679.0,1221.0,29.3
167,2004-03-17,2020-06-11 17:00:00,2.5,1247.0,12.3,1060.0,147.0,1032.0,114.0,1525.0,1069.0,28.5
168,2004-03-17,2020-06-11 18:00:00,5.0,1557.0,27.0,1478.0,299.0,793.0,158.0,1981.0,1569.0,25.9
169,2004-03-17,2020-06-11 19:00:00,7.6,1973.0,38.4,1737.0,411.0,617.0,194.0,2414.0,2306.0,23.1
170,2004-03-17,2020-06-11 20:00:00,6.7,1975.0,35.1,1667.0,347.0,597.0,182.0,2416.0,2359.0,20.5
171,2004-03-17,2020-06-11 21:00:00,5.7,1795.0,27.2,1485.0,336.0,653.0,180.0,2174.0,2050.0,19.1
172,2004-03-17,2020-06-11 22:00:00,2.8,1444.0,15.0,1150.0,202.0,770.0,136.0,1727.0,1727.0,17.2
173,2004-03-17,2020-06-11 23:00:00,2.6,1488.0,15.7,1171.0,178.0,731.0,127.0,1778.0,1705.0,16.0
174,2004-03-18,2020-06-11 00:00:00,2.3,1371.0,13.0,1083.0,154.0,796.0,116.0,1669.0,1551.0,14.8
175,2004-03-18,2020-06-11 01:00:00,1.4,1161.0,8.1,904.0,92.0,947.0,107.0,1502.0,1240.0,14.3
176,2004-03-18,2020-06-11 02:00:00,1.0,1064.0,5.5,787.0,61.0,1057.0,88.0,1407.0,1115.0,14.8
177,2004-03-18,2020-06-11 03:00:00,0.7,970.0,3.6,687.0,242.18929,1196.0,112.145134,1351.0,969.0,13.9
178,2004-03-18,2020-06-11 04:00:00,2.1297114,954.0,2.9,645.0,60.0,1260.0,78.0,1334.0,925.0,11.6
179,2004-03-18,2020-06-11 05:00:00,0.6,931.0,2.5,623.0,37.0,1293.0,57.0,1307.0,828.0,12.0
180,2004-03-18,2020-06-11 06:00:00,0.7,938.0,3.0,650.0,68.0,1251.0,71.0,1333.0,893.0,10.9
181,2004-03-18,2020-06-11 07:00:00,1.5,1166.0,7.7,885.0,139.0,1005.0,85.0,1551.0,1075.0,10.6
182,2004-03-18,2020-06-11 08:00:00,4.7,1643.0,23.3,1384.0,339.0,667.0,124.0,2094.0,1610.0,11.5
183,2004-03-18,2020-06-11 09:00:00,6.6,1934.0,35.8,1682.0,421.0,541.0,151.0,2468.0,2051.0,14.3
184,2004-03-18,2020-06-11 10:00:00,4.5,1617.0,21.3,1333.0,349.0,686.0,150.0,2010.0,1819.0,17.8
185,2004-03-18,2020-06-11 11:00:00,2.8,1473.0,14.3,1127.0,224.0,831.0,152.0,1752.0,1568.0,20.8
186,2004-03-18,2020-06-11 12:00:00,2.2,1379.0,12.5,1068.0,171.0,899.0,139.0,1663.0,1374.0,23.8
187,2004-03-18,2020-06-11 13:00:00,2.2,1385.0,12.2,1056.0,149.0,891.0,133.0,1648.0,1268.0,24.2
188,2004-03-18,2020-06-11 14:00:00,2.3,1379.0,13.1,1087.0,137.0,901.0,126.0,1660.0,1144.0,25.2
189,2004-03-18,2020-06-11 15:00:00,2.2,1322.0,14.4,1129.0,149.0,934.0,128.0,1639.0,1109.0,27.0
190,2004-03-18,2020-06-11 16:00:00,2.8,1496.0,16.8,1205.0,172.0,822.0,169.0,1767.0,1347.0,27.1
191,2004-03-18,2020-06-11 17:00:00,2.7,1409.0,14.5,1131.0,166.0,873.0,149.0,1689.0,1206.0,25.8
192,2004-03-18,2020-06-11 18:00:00,3.7,1513.0,21.5,1338.0,214.0,764.0,156.0,1957.0,1397.0,23.0
193,2004-03-18,2020-06-11 19:00:00,5.1,1667.0,26.4,1464.0,280.0,683.0,168.0,2118.0,1588.0,20.7
194,2004-03-18,2020-06-11 20:00:00,5.1,1667.0,26.0,1453.0,276.0,684.0,176.0,2051.0,1569.0,18.6
195,2004-03-18,2020-06-11 21:00:00,3.2,1430.0,14.1,1121.0,178.0,814.0,135.0,1732.0,1322.0,16.0
196,2004-03-18,2020-06-11 22:00:00,2.1,1333.0,10.3,989.0,129.0,885.0,121.0,1621.0,1194.0,14.5
197,2004-03-18,2020-06-11 23:00:00,1.7,1262.0,8.3,911.0,95.0,948.0,99.0,1545.0,1062.0,13.1
198,2004-03-19,2020-06-11 00:00:00,2.0,1287.0,8.9,936.0,126.0,918.0,106.0,1606.0,1040.0,12.0
199,2004-03-19,2020-06-11 01:00:00,1.6,1134.0,6.6,840.0,103.0,1021.0,96.0,1501.0,917.0,11.9
200,2004-03-19,2020-06-11 02:00:00,0.9,999.0,3.6,688.0,48.0,1229.0,63.0,1380.0,594.0,12.5
201,2004-03-19,2020-06-11 03:00:00,0.7,961.0,2.5,622.0,242.18929,1382.0,112.145134,1301.0,430.0,12.5
202,2004-03-19,2020-06-11 04:00:00,2.1297114,934.0,1.8,569.0,20.0,1440.0,32.0,1280.0,397.0,12.3
203,2004-03-19,2020-06-11 05:00:00,0.5,913.0,1.3,525.0,18.0,1620.0,28.0,1260.0,370.0,12.5
204,2004-03-19,2020-06-11 06:00:00,0.7,969.0,2.3,607.0,56.0,1373.0,61.0,1324.0,438.0,12.3
205,2004-03-19,2020-06-11 07:00:00,1.5,1182.0,6.7,845.0,115.0,1054.0,99.0,1539.0,704.0,12.4
206,2004-03-19,2020-06-11 08:00:00,4.8,1740.0,22.8,1372.0,320.0,671.0,157.0,2144.0,1476.0,13.0
207,2004-03-19,2020-06-11 09:00:00,6.2,1819.0,31.3,1582.0,357.0,575.0,166.0,2456.0,1716.0,13.6
208,2004-03-19,2020-06-11 10:00:00,4.0,1427.0,19.2,1275.0,253.0,701.0,149.0,1980.0,1398.0,13.9
209,2004-03-19,2020-06-11 11:00:00,3.3,1390.0,16.4,1191.0,218.0,759.0,135.0,1879.0,1268.0,14.5
